x,y
白区,-0.111111111
白日见鬼,-0.333333333
白日梦,-0.037727503
白日升天,0.333333333
白日衣绣,0.333333333
白日做梦,-0.777777778
白日做梦－胡思乱想,-0.555555556
白手起家,0.333333333
白首北面,0.777777778
白首不渝,0.555555556
白首空归,-0.555555556
白首之心,0.555555556
白受气,-0.006495593
白水鉴心,0.555555556
白头如新,-0.333333333
白头相守,0.333333333
白头偕老,0.416919684793009
白皙,0.333333333
白雪阳春,0.555555556
白眼,-0.555555556
白眼相看,0.555555556
白衣苍狗,-0.555555556
白衣公卿,0.555555556
白衣卿相,0.777777778
白玉无瑕,0.777777778
白玉无暇,0.777777778
白云亲舍,0.777777778
白字,-0.111111111
白做,-0.063788814
百败不折,0.555555556
百般刁难,-0.555555556
百般奉承,-0.333333333
百弊丛生,-0.555555556
百不失一,1
百步穿杨,0.555555556
百尺竿头，更进一步,0.555555556
百川归海,0.555555556
百辞莫辩,-0.777777778
百代文宗,0.555555556
百读不厌,0.777777778
百堵皆作,0.555555556
百二河山,0.555555556
百二山河,0.555555556
百发百中,0.555555556
百废待举,0.777777778
百废俱兴,0.555555556
百分满点,0.0646863654201614
百分之百,0.0141505521739868
百分之百支持,0.0206555695709225
百感交集,0.777777778
百花齐放,0.555555556
百花齐放，百家争鸣,0.777777778
百花生日,0.555555556
百花争艳,0.333333333
百卉千葩,0.555555556
百家争鸣,0.320689760875007
百举百全,0.555555556
百孔千疮,-0.555555556
百口莫辩,-0.777777778
百口难辨,-0.777777778
百里挑一,1
百里之才,-0.111111111
百炼成钢,0.777777778
百炼之钢,0.777777778
百伶百俐,0.777777778
百龄眉寿,0.777777778
百年偕老,0.555555556
百巧千穷,-0.555555556
百舍重趼,-0.555555556
百身何赎,-0.777777778
百身莫赎,-0.555555556
百世不磨,0.555555556
百世师,1
百事大吉,0.555555556
百事通,0.555555556
百兽率舞,0.555555556
百思不解,-0.304991888
百岁千秋,0.555555556
百听不厌,0.777777778
百万雄师,0.555555556
百闻不如一见,0.555555556
百无聊赖,-0.555555556
百无一成,-0.777777778
百无一能,-0.111111111
百无一失,1
百无一是,-0.777777778
百无一用,-0.777777778
百星不如一月,-0.555555556
百业萧条,-0.555555556
百依百顺,-0.333333333
百约百叛,-1
百战百胜,0.777777778
百战不殆,0.333333333
百战沙场,0.157062677578001
百折不回,0.777777778
百折不挠,0.777777778
百折不挠地,0.777777778
百足之虫，死而不僵,-0.777777778
摆布,-0.777777778
摆动,0.555555556
摆份儿,-0.111111111
摆好定石,0.273754886619731
摆架子,-0.555555556
摆款儿,-0.111111111
摆阔,-0.333333333
摆门面,-0.555555556
摆明,0.323568714878121
摆弄,-0.555555556
摆普儿,-0.333333333
摆谱儿,-0.555555556
摆设,0.555555556
摆脱,-0.555555556
摆脱不了,-0.121818576
摆脱低潮,0.278234306252451
摆脱了,-0.013060972
摆脱长期联招梦魇,0.0575398437202783
摆袖却金,0.555555556
摆样子,-0.555555556
败北,-0.3192090395
败笔,-0.333333333
败材伤锦,-0.555555556
败德,-0.174509559
败德辱行,-0.555555556
败给,-0.267755186
败国丧家,-0.555555556
败国亡家,-0.555555556
败化伤风,-0.555555556
败坏,-0.565913371
败坏道德之事,-0.07295887
败火,-0.555555556
败绩,-0.396421846
败家,-0.402166388
败家女,-0.188450351
败家子,-0.5531254085
败将,-0.555555556
败局,-0.111111111
败军,-0.555555556
败军之将,-0.555555556
败类,0.2532956685
败柳残花,-0.555555556
败露,-0.555555556
败落,-0.777777778
败事有馀，成事不足,-1
败俗,-0.246718644
败俗伤风,-0.555555556
败俗伤化,-0.555555556
败诉,-0.403954802
败投,-0.317585627
败退,-0.307134369
败谢,-0.555555556
败兴,-0.111111111
败絮,-0.541431262
败叶,-0.111111111
败于垂成,-0.777777778
败战,-0.478399153
败仗,-0.430320151
败阵,-0.430320151
败子,-0.555555556
拜把子,0.555555556
拜拜,0.555555556
拜别,0.555555556
拜忏,-0.333333333
拜辞,0.555555556
拜赐之师,-0.555555556
拜倒辕门,0.777777778
拜读,0.333333333
拜恩私室,0.777777778
拜访,0.175949225099867
拜服,0.333333333
拜候,0.555555556
拜会,0.555555556
拜见,0.555555556
拜将封侯,0.555555556
拜节,0.555555556
拜金,-0.2961073375
拜金主义,-0.084808729
拜客,0.555555556
拜恳,0.333333333
拜聆,0.777777778
拜领,0.555555556
拜年,0.555555556
拜请,0.555555556
拜认,0.555555556
拜扫,0.555555556
拜识,0.555555556
拜寿,0.555555556
拜堂,0.555555556
拜天地,0.555555556
拜托,0.2679535745
拜望,0.555555556
拜物教,-0.555555556
拜谒,0.555555556
扳不倒儿,0.555555556
扳成,0.31873775278951
扳回,0.220817722764511
扳回颓势,0.12320807505884
扳回一城,0.13425752954854
扳平,0.331039286829871
班班,0.555555556
班荆道故,0.777777778
班门弄斧,-0.555555556
班师,0.555555556
班师得胜,0.111111111
班师回朝,0.555555556
班香宋艳,0.555555556
班衣戏采,0.555555556
般配,0.555555556
般若,0.555555556
颁发,0.014959251862164
颁给,0.00447032200876485
颁奖,0.176654178211609
斑驳,-0.186440678
斑点,-0.06779661
斑块,-0.06779661
斑斓,0.333333333
斑衣戏彩,0.555555556
搬出,0.0169529721148602
搬唇递舌,-0.666666667
搬唇弄舌,-0.555555556
搬斤播两,-0.555555556
搬口弄舌,-0.555555556
搬弄,-0.555555556
搬弄是非,-0.555555556
搬石砸脚,-0.555555556
阪上走丸,0.333333333
板板六十四,-0.555555556
板板正正,0.111111111
板荡,-0.777777778
板栗连壳吞下肚－千针万刺痛在心,-0.777777778
板脸,-0.3481376085
板面孔,-0.555555556
板着脸,-0.555555556
板着脸孔,-0.039183424
板着面孔,-0.555555556
板正,0.333333333
板滞,-0.333333333
版版六十四,-0.333333333
办错,-0.267755186
办到,0.0880133520132146
半半拉拉,-0.555555556
半壁江山,-0.555555556
半痴不癫,-0.333333333
半吊子,-0.555555556
半封建,-0.333333333
半疯儿,-0.111111111
半毁,-0.305084746
半间不界,-0.555555556
半截入土,-0.555555556
半路出家,-0.333333333
半面不忘,0.555555556
半三不四,-0.555555556
半上落下,-0.555555556
半身不遂,-0.555555556
半衰期,-0.555555556
半死,-0.347498305
半死半生,-0.555555556
半途而废,-0.336916812
半途收兵,-0.034745898
半涂而废,-0.777777778
半推半就,-0.555555556
半文盲,-0.555555556
半信半疑,-0.333333333
半疑半信,-0.555555556
伴当,0.555555556
伴食宰相,-0.555555556
伴食中书,-0.555555556
伴同,0.555555556
拌嘴,-0.333333333
绊倒,-0.322033898
绊脚石,-0.3286252355
扮演,0.0441635445529021
邦交,0.555555556
帮办,0.555555556
帮补,0.333333333
帮衬,0.555555556
帮倒忙,-0.419020716
帮扶,0.333333333
帮虎吃食,-0.555555556
帮教,0.111111111
帮困,0.333333333
帮了,0.155554250356952
帮了很大的忙,0.0161094192638515
帮忙很大,0.0461288671384991
帮派,-0.083709318
帮派分子,-0.133798424
帮贫济困,0.333333333
帮腔,-0.555555556
帮手,0.0706408289311725
帮同,0.555555556
帮闲,-0.555555556
帮闲钻懒,-0.555555556
帮凶,-0.482109228
帮助,0.443508111943949
帮助更大,0.185729742741356
帮助甚大,0.207811515669219
帮助脱离困境,0.186964305815706
绑匪,-0.555555556
绑架,-0.311676083
绑票,-0.555555556
榜首,0.4028127268998
榜眼,0.555555556
榜样,0.555555556
棒棒精采,0.204304951620189
棒打鸳鸯,-0.555555556
棒儿香,0.555555556
棒喝,-0.555555556
棒子发烫,0.171267506726298
傍人篱壁,-0.333333333
傍人篱落,-0.555555556
傍人门户,-0.333333333
谤毁,-0.555555556
谤书,-0.555555556
谤议,-0.333333333
磅礴,0.333333333
包办,0.297624389272069
包办代替,-0.555555556
包庇,-0.2005649715
包藏祸心,-0.555555556
包藏奸心,-0.555555556
包抄,0.333333333
包打天下,-0.555555556
包打听,-0.555555556
包管,0.555555556
包举,0.555555556
包揽,0.555555556
包赔,-0.555555556
包票,0.555555556
包容,0.555555556
包容度高,0.2395211829966
包围,-0.220338983
包羞忍耻,0.555555556
包圆儿,0.555555556
包子,-0.555555556
苞苴竿牍,-0.555555556
褒多于贬,0.14339682174201
褒奖,0.777777778
褒美,0.777777778
褒善贬恶,0.777777778
褒扬,0.495342419291155
褒衣博带,0.111111111
褒誉,0.777777778
薄唇轻言,-0.555555556
薄命,-0.777777778
薄情,-0.1697600225
薄弱,-0.292843691
薄幸,-0.333333333
饱经,-0.020173288
饱满,0.555555556
饱暖生淫欲,-0.555555556
饱暖思淫欲,-0.555555556
饱其私囊,-1
饱食终日,-0.333333333
饱受,-0.090898712
饱受煎熬,-0.045449356
饱受抨击,-0.214940881
饱受威胁,-0.085598102
